,s.no,latitude,longitude,kelp_biomass_kg_2025,kelp_biomass_kg_past_2015,Temperature ,Salinity level,Ocean Current ,compass_score
1218,1218,36.94853149,-122.0325391,0,207,12.428,35.165,0.178,0.6403
1219,1219,36.94880189,-122.0325357,94,0,16.473,32.792,0.189,0.3152
1220,1220,36.94988347,-122.032522,94,0,13.191,33.639,0.165,0.2605
1221,1221,36.94798795,-122.032209,0,230,15.296,35.512,0.161,0.6963
1222,1222,36.94825835,-122.0322056,0,242,13.102,34.751,0.191,0.6496
1223,1223,36.94798521,-122.0318721,0,230,11.972,35.339,0.222,0.6578
1224,1224,36.9482556,-122.0318687,0,242,15.815,35.257,0.282,0.7605
1225,1225,36.94960758,-122.0318516,104,0,12.909,34.882,0.195,0.3011
1226,1226,36.94879365,-122.031525,123,0,16.473,34.393,0.095,0.3082
1227,1227,36.94933444,-122.0315181,114,0,14.56,34.476,0.221,0.3361
1228,1228,36.94960484,-122.0315147,143,0,11.201,34.676,0.208,0.2693
1229,1229,36.94825011,-122.0311949,0,230,14.683,36.409,0.125,0.6888
1230,1230,36.9485205,-122.0311915,0,289,14.543,36.061,0.225,0.7274
1231,1231,36.9487909,-122.0311881,0,254,11.476,34.505,0.225,0.6288
1232,1232,36.94933169,-122.0311812,133,0,18.428,32.961,0.256,0.3909
1233,1233,36.94960209,-122.0311778,133,0,13.496,34.728,0.184,0.3032
1234,1234,36.95068367,-122.0311641,114,0,16.211,33.359,0.182,0.3207
1235,1235,36.94770657,-122.0308649,0,566,14.807,35.031,0.247,0.7177
1236,1236,36.94797696,-122.0308615,0,449,12.375,34.938,0.122,0.6056
1237,1237,36.94824736,-122.030858,0,254,15.79,35.757,0.133,0.698
1238,1238,36.94982838,-122.025784,0,317,17.42,34.893,0.325,0.8041
1239,1239,36.94928483,-122.025454,0,195,11.41,34.937,0.228,0.6398
1240,1240,36.95198879,-122.0254195,251,0,14.591,33.536,0.264,0.3347
1241,1241,36.95198602,-122.0250826,143,0,17.749,34.537,0.266,0.4221
1242,1242,36.95225642,-122.0250792,231,0,14.603,32.597,0.207,0.2829
1243,1243,36.95252681,-122.0250757,251,0,13.748,33.909,0.184,0.2876
1244,1244,36.94819771,-122.024794,0,195,9.231,35.335,0.258,0.6224
1245,1245,36.94846811,-122.0247905,0,242,12.352,35.286,0.235,0.6704
1246,1246,36.9487385,-122.0247871,0,230,14.924,34.767,0.172,0.6759
1247,1247,36.9490089,-122.0247836,0,254,10.04,36.272,0.213,0.6391
1248,1248,36.95009048,-122.0247698,0,214,13.721,35.469,0.204,0.6861
1249,1249,36.94846534,-122.0244536,0,195,14.383,35.234,0.185,0.6836
1250,1250,36.94873574,-122.0244502,0,313,17.522,36.223,0.207,0.7803
1251,1251,36.94900613,-122.0244467,0,348,16.676,34.561,0.183,0.7103
1252,1252,36.94927653,-122.0244433,0,313,11.346,33.911,0.228,0.6129
1253,1253,36.94954693,-122.0244398,0,420,15.027,33.568,0.168,0.6459
1254,1254,36.94981732,-122.0244364,0,420,15.77,33.552,0.189,0.6705
1255,1255,36.95008772,-122.0244329,0,391,14.165,34.17,0.254,0.6872
1256,1256,36.95035811,-122.0244295,0,391,5.976,34.428,0.212,0.5135
1257,1257,36.95062851,-122.024426,0,336,17.493,33.921,0.127,0.6822
1258,1258,36.9508989,-122.0244226,0,301,17.001,34.465,0.187,0.7163
1259,1259,36.9511693,-122.0244191,0,266,17.868,34.635,0.199,0.7434
1260,1260,36.9514397,-122.0244157,0,207,18.705,34.331,0.228,0.7665
1261,1261,36.95171009,-122.0244122,0,347,19.77,37.066,0.227,0.8551
1262,1262,36.95252128,-122.0244019,133,0,18.11,33.763,0.241,0.3973
1263,1263,36.95279167,-122.0243984,341,0,20.315,34.881,0.304,0.4996
1264,1264,36.95306207,-122.024395,123,0,10.038,34.696,0.257,0.2716
1265,1265,36.95333247,-122.0243915,114,0,16.305,35.437,0.153,0.36
1266,1266,36.95387326,-122.0243846,133,0,13.306,35.712,0.281,0.3726
1267,1267,36.95414365,-122.0243812,172,0,19.374,36.326,0.165,0.4479
1268,1268,36.95441405,-122.0243778,260,0,23.516,34.769,0.232,0.5227
1269,1269,36.94900337,-122.0241098,0,313,14.353,32.628,0.216,0.6333
1270,1270,36.94927376,-122.0241064,0,324,24.386,36.016,0.204,0.8899
1271,1271,36.94981455,-122.0240995,0,464,12.944,35.032,0.157,0.6365
1272,1272,36.95008495,-122.024096,0,464,14.338,35.553,0.236,0.7162
1273,1273,36.95035534,-122.0240926,0,435,15.768,35.482,0.185,0.7167
1274,1274,36.95062574,-122.0240891,0,360,15.794,34.144,0.16,0.6713
1275,1275,36.95089614,-122.0240857,0,336,15.1,34.544,0.219,0.6973
1276,1276,36.95116653,-122.0240822,0,301,14.14,35.5,0.257,0.7215
1277,1277,36.95143693,-122.0240788,0,277,12.94,34.094,0.25,0.6595
1278,1278,36.95170732,-122.0240753,0,277,18.052,34.837,0.128,0.7165
1279,1279,36.95224811,-122.0240684,0,289,12.803,32.452,0.226,0.6038
1280,1280,36.95251851,-122.024065,0,301,13.904,33.175,0.174,0.6173
1281,1281,36.95387049,-122.0240477,114,0,14.283,34.689,0.227,0.339
1282,1282,36.95414088,-122.0240443,123,0,12.388,34.424,0.352,0.357
1283,1283,36.95441128,-122.0240408,163,0,18.415,35.479,0.25,0.4506
1284,1284,36.95468168,-122.0240374,143,0,15.684,33.881,0.198,0.3315
1285,1285,36.95495207,-122.0240339,133,0,16.726,34.776,0.209,0.3797
1286,1286,36.95576326,-122.0240236,241,0,12.152,33.05,0.154,0.2201
1287,1287,36.9490006,-122.0237729,0,277,14.478,35.679,0.239,0.7235
1288,1288,36.94954139,-122.023766,0,332,15.687,34.577,0.247,0.7235
1289,1289,36.94981178,-122.0237626,0,420,10.799,33.369,0.149,0.5493
1290,1290,36.95008218,-122.0237591,0,420,16.386,34.547,0.216,0.7208
1291,1291,36.95035258,-122.0237557,0,259,15.684,34.864,0.171,0.6926
1292,1292,36.95062297,-122.0237522,0,531,5.138,36.883,0.189,0.5541
1293,1293,36.95089337,-122.0237488,0,820,12.719,36.15,0.209,0.6861
1294,1294,36.95170455,-122.0237384,0,230,9.342,34.519,0.233,0.5917
1295,1295,36.95197495,-122.023735,0,266,15.189,34.535,0.037,0.6143
1296,1296,36.94980901,-122.0234257,0,937,14.4,35.994,0.257,0.7389
1297,1297,36.95007941,-122.0234222,0,317,11.314,34.91,0.243,0.6448
1298,1298,36.95715532,-121.9963746,0,163,19.015,34.295,0.2,0.7577
1299,1299,36.9560709,-121.9960518,0,339,8.455,32.9,0.251,0.543
1300,1300,36.95606805,-121.9957149,0,821,9.166,35.5,0.284,0.6383
1301,1301,36.95579481,-121.9953816,0,1091,16.96,31.542,0.146,0.6219
1302,1302,36.9560652,-121.995378,0,1273,11.264,34.284,0.138,0.5757
1303,1303,36.95633559,-121.9953744,0,339,12.705,33.592,0.146,0.5904
1304,1304,36.95579195,-121.9950446,0,889,13.864,34.44,0.159,0.6406
1305,1305,36.95606235,-121.9950411,0,899,15.075,34.279,0.162,0.6617
1306,1306,36.95633274,-121.9950375,0,163,12.739,34.952,0.193,0.6486
1307,1307,36.95551871,-121.9947113,0,639,12.184,35.672,0.229,0.6738
1308,1308,36.9557891,-121.9947077,0,997,13.379,35.662,0.156,0.6603
1309,1309,36.9560595,-121.9947042,0,339,18.138,34.936,0.215,0.7641
1310,1310,36.95632989,-121.9947006,0,462,19.7,34.869,0.23,0.8003
1311,1311,36.95578625,-121.9943708,0,1022,12.99,35.33,0.145,0.6389
1312,1312,36.95605664,-121.9943672,0,723,17.05,34.409,0.331,0.7878
1313,1313,36.95632704,-121.9943637,0,1322,11.798,34.503,0.193,0.619
1314,1314,36.95659743,-121.9943601,0,319,17.304,33.421,0.202,0.7035
1315,1315,36.9574029,-121.9936756,0,1020,20.787,36.588,0.199,0.8489
1316,1316,36.95353708,-121.9842919,0,277,19.135,33.739,0.247,0.7696
1317,1317,36.95380747,-121.9842883,0,260,10.501,33.985,0.229,0.5989
1318,1318,36.95407786,-121.9842847,0,202,14.08,34.31,0.213,0.6686
1319,1319,36.95353419,-121.983955,0,202,12.148,35.19,0.173,0.633
1320,1320,36.95380459,-121.9839514,0,1440,14.51,34.024,0.159,0.6428
1321,1321,36.95407498,-121.9839478,0,830,18.283,33.864,0.152,0.7087
1322,1322,36.95353131,-121.983618,0,133,7.847,33.96,0.21,0.5371
1323,1323,36.9538017,-121.9836145,0,221,19.28,34.399,0.297,0.8139
1324,1324,36.95407209,-121.9836109,0,1091,14.713,33.617,0.177,0.6456
1325,1325,36.95434249,-121.9836073,0,811,10.722,33.921,0.203,0.5886
1326,1326,36.95461288,-121.9836037,0,521,15.125,36.97,0.262,0.7799
1327,1327,36.95352843,-121.9832811,0,192,11.769,34.439,0.071,0.5559
1328,1328,36.95379882,-121.9832775,0,609,14.936,34.4,0.189,0.6755
1329,1329,36.95406921,-121.9832739,0,192,16.698,34.731,0.183,0.715
1330,1330,36.95460999,-121.9832668,0,791,13.059,34.618,0.296,0.6979
1331,1331,36.95488039,-121.9832632,0,840,17.278,34.592,0.13,0.6963
1332,1332,36.95515078,-121.9832596,0,192,13.3,35.411,0.223,0.6859
1333,1333,36.95379593,-121.9829406,0,212,11.928,35.093,0.227,0.6533
1334,1334,36.95460711,-121.9829298,0,742,16.781,33.691,0.169,0.6836
1335,1335,36.9548775,-121.9829262,0,1449,17.853,33.985,0.166,0.7103
1336,1336,36.95514789,-121.9829226,0,560,12.866,35.966,0.23,0.6949
1337,1337,36.95541829,-121.9829191,0,348,16.031,33.529,0.133,0.647
1338,1338,36.95406344,-121.9826001,0,212,16.404,34.274,0.18,0.6964
1339,1339,36.95487462,-121.9825893,0,664,15.818,34.68,0.237,0.7236
1340,1340,36.95514501,-121.9825857,0,713,14.389,35.043,0.166,0.6694
1341,1341,36.9554154,-121.9825821,0,660,13.289,34.043,0.127,0.6035
1342,1342,36.95568579,-121.9825785,0,555,13.423,34.12,0.173,0.6311
1343,1343,36.95406055,-121.9822632,0,492,10.355,34.148,0.173,0.5721
1344,1344,36.95433094,-121.9822596,0,270,10.622,35.123,0.18,0.6052
1345,1345,36.95460134,-121.982256,0,212,18.886,34.108,0.239,0.77
1346,1346,36.95514212,-121.9822488,0,202,12.844,36.312,0.202,0.6891
1347,1347,36.95541251,-121.9822452,0,1067,13.907,36.66,0.227,0.731
1348,1348,36.9556829,-121.9822416,0,790,13.901,33.545,0.17,0.6245
1349,1349,36.95378727,-121.9819299,0,251,13.571,34.586,0.198,0.6581
1350,1350,36.95405766,-121.9819263,0,241,11.81,33.877,0.254,0.6341
1351,1351,36.95432806,-121.9819227,0,241,19.769,35.178,0.165,0.7769
1352,1352,36.95459845,-121.9819191,0,163,16.556,34.336,0.261,0.7414
1353,1353,36.95540962,-121.9819083,0,301,14.86,35.415,0.156,0.6829
1354,1354,36.95568002,-121.9819047,0,242,15.497,33.139,0.151,0.6359
1355,1355,36.95351399,-121.9815966,0,212,14.737,35.439,0.177,0.6916
1356,1356,36.95405477,-121.9815894,0,192,16.167,34.807,0.158,0.6941
1357,1357,36.9535111,-121.9812597,0,163,18.349,35.003,0.185,0.7549
1358,1358,36.95486306,-121.9812417,0,192,11.792,33.659,0.2,0.6013
1359,1359,36.95513345,-121.9812381,0,241,19.537,36.301,0.192,0.814
1360,1360,36.95621213,-121.9808867,207,0,13.41,33.01,0.201,0.2671
1361,1361,36.94917326,-121.9799697,0,221,15.622,34.722,0.258,0.7314
1362,1362,36.94944365,-121.9799661,0,143,16.58,34.44,0.237,0.7324
1363,1363,36.94889997,-121.9796364,0,202,9.065,34.418,0.176,0.5553
1364,1364,36.94917036,-121.9796328,0,202,15.353,34.595,0.217,0.7025
1365,1365,36.94944075,-121.9796292,0,231,15.054,34.247,0.222,0.6904
1366,1366,36.94971115,-121.9796256,0,251,12.752,36.474,0.244,0.7124
1367,1367,36.95052232,-121.9796148,0,231,17.21,35.15,0.177,0.7324
1368,1368,36.94862668,-121.9793032,0,133,9.869,34.296,0.242,0.6009
1369,1369,36.94889707,-121.9792995,0,560,12.038,34.286,0.272,0.6578
1370,1370,36.94916747,-121.9792959,0,1208,12.462,35.533,0.137,0.6297
1371,1371,36.94943786,-121.9792923,0,1140,12.197,35.956,0.232,0.6826
1372,1372,36.94970825,-121.9792887,0,241,13.44,35.57,0.21,0.6861
1373,1373,36.94997864,-121.9792851,0,133,14.244,35.7,0.237,0.7185
1374,1374,36.95024903,-121.9792815,0,192,16.542,34.411,0.202,0.7135
1375,1375,36.95051943,-121.9792779,0,212,16.516,33.475,0.271,0.7241
1376,1376,36.94889418,-121.9789627,0,723,17.221,34.46,0.123,0.6884
1377,1377,36.94916457,-121.978959,0,1739,17.667,35.627,0.218,0.7738
1378,1378,36.94943496,-121.9789554,0,1704,12.161,35.157,0.231,0.6614
1379,1379,36.94970535,-121.9789518,0,1140,12.577,34.606,0.236,0.6583
1380,1380,36.94997575,-121.9789482,0,713,12.897,34.69,0.143,0.6201
1381,1381,36.95024614,-121.9789446,0,212,10.567,34.105,0.16,0.5686
1382,1382,36.95051653,-121.978941,0,221,21.917,35.7,0.177,0.8377
1383,1383,36.95078692,-121.9789374,0,231,12.251,34.61,0.213,0.6405
1384,1384,36.95186849,-121.978923,0,266,15.098,32.853,0.244,0.6675
1385,1385,36.94943206,-121.9786185,0,1612,18.056,34.588,0.238,0.7653
1386,1386,36.94970246,-121.9786149,0,1671,16.34,34.517,0.177,0.6997
1387,1387,36.94997285,-121.9786113,136,1322,15.741,36.017,0.186,0.694
1388,1388,36.95024324,-121.9786077,0,703,12.012,34.78,0.192,0.6296
1389,1389,36.95051363,-121.9786041,0,290,9.94,34.862,0.113,0.5519
1390,1390,36.95078403,-121.9786005,0,280,15.873,34.983,0.209,0.7183
1391,1391,36.95105442,-121.9785969,0,221,15.176,35.258,0.211,0.7126
1392,1392,36.95186559,-121.978586,0,183,14.07,35.345,0.19,0.6828
1393,1393,36.95213599,-121.9785824,0,230,15.906,34.805,0.17,0.695
1394,1394,36.94969956,-121.978278,0,492,22.238,33.694,0.254,0.8323
1395,1395,36.94996995,-121.9782744,0,713,11.592,33.309,0.195,0.5862
1396,1396,36.95024034,-121.9782708,0,550,12.678,33.226,0.146,0.5807
1397,1397,36.95051073,-121.9782672,125,300,17.308,36.096,0.287,0.6672
1398,1398,36.95078113,-121.9782636,0,251,14.488,33.61,0.209,0.657
1399,1399,36.95105152,-121.97826,0,221,14.451,36.122,0.243,0.7361
1400,1400,36.95186269,-121.9782491,148,0,12.564,32.574,0.199,0.2387
1401,1401,36.95213309,-121.9782455,172,266,19.101,33.896,0.068,0.457
1402,1402,36.94780391,-121.9779664,0,521,16.621,33.763,0.253,0.7243
1403,1403,36.95023744,-121.9779339,0,742,18.872,34.628,0.233,0.7797
1404,1404,36.95050784,-121.9779303,0,550,11.74,33.194,0.291,0.6342
1405,1405,36.95077823,-121.9779267,0,221,16.507,34.647,0.198,0.7167
1406,1406,36.95104862,-121.9779231,0,163,14.093,35.087,0.106,0.6348
1407,1407,36.9515894,-121.9779159,0,230,5.1,35.004,0.205,0.5151
1408,1408,36.95213019,-121.9779086,172,0,13.039,34.461,0.206,0.2986
1409,1409,36.95240058,-121.977905,113,0,17.848,36.467,0.25,0.4643
1410,1410,36.95267097,-121.9779014,0,221,13.527,34.622,0.312,0.7151
1411,1411,36.94780101,-121.9776296,0,300,13.257,34.235,0.075,0.5817
1412,1412,36.94807141,-121.9776259,0,762,13.773,33.451,0.228,0.6486
1413,1413,36.9483418,-121.9776223,0,231,10.664,35.816,0.206,0.6363
1414,1414,36.94861219,-121.9776187,0,202,11.701,34.64,0.278,0.6631
1415,1415,36.95023454,-121.977597,183,192,15.395,35.234,0.25,0.4022
1416,1416,36.95050494,-121.9775934,136,280,18.194,35.13,0.203,0.5941
1417,1417,36.95077533,-121.9775898,0,212,14.167,32.703,0.184,0.6156
1418,1418,36.95104572,-121.9775862,0,182,12.898,35.738,0.12,0.6348
1419,1419,36.9515865,-121.977579,0,230,10.703,32.993,0.264,0.5955
1420,1420,36.95212729,-121.9775717,0,266,13.952,33.623,0.213,0.6489
1421,1421,36.95239768,-121.9775681,160,254,11.8,34.395,0.207,0.4029
1422,1422,36.95266807,-121.9775645,0,212,15.128,33.01,0.258,0.679
1423,1423,36.5797828,-121.9821681,0,231,11.245,34.453,0.255,0.638
1424,1424,36.58005321,-121.9821646,0,231,11.365,34.146,0.154,0.5822
1425,1425,36.94806851,-121.9772891,0,1312,15.642,36.098,0.213,0.7437
1426,1426,36.9483389,-121.9772854,0,1508,13.411,34.851,0.189,0.6571
1427,1427,36.94860929,-121.9772818,0,1071,15.852,37.183,0.255,0.7959
1428,1428,36.94887968,-121.9772782,0,280,15.934,34.67,0.226,0.7201
1429,1429,36.94915007,-121.9772746,0,172,15.042,34.664,0.213,0.6961
1430,1430,36.95050203,-121.9772565,195,251,17.31,36.192,0.256,0.528
1431,1431,36.95077243,-121.9772529,125,172,11.312,34.847,0.18,0.3573
1432,1432,36.95131321,-121.9772457,0,195,11.43,35.102,0.221,0.6409
1433,1433,36.9515836,-121.9772421,0,230,17.59,35.247,0.134,0.7208
1434,1434,36.95239478,-121.9772312,0,219,16.506,33.965,0.245,0.7231
1435,1435,36.95266517,-121.9772276,113,270,13.428,35.336,0.25,0.5536
1436,1436,36.57950953,-121.9818364,0,241,15.456,33.516,0.224,0.681
1437,1437,36.57977994,-121.9818329,0,554,15.264,34.504,0.139,0.6595
1438,1438,36.58005035,-121.9818293,0,545,14.833,34.052,0.188,0.6643
1439,1439,36.58032076,-121.9818258,0,177,15.915,33.26,0.18,0.6615
1440,1440,36.9480656,-121.9769522,0,595,15.751,33.35,0.198,0.6696
1441,1441,36.948336,-121.9769485,0,1641,17.231,35.082,0.196,0.7407
1442,1442,36.94860639,-121.9769449,0,1214,21.249,34.746,0.205,0.8149
1443,1443,36.94887678,-121.9769413,0,1160,18.912,33.757,0.127,0.7057
1444,1444,36.94914717,-121.9769377,0,791,11.703,36.807,0.103,0.6298
1445,1445,36.94941756,-121.9769341,0,231,16.311,31.9,0.226,0.6582
1446,1446,36.95049913,-121.9769196,195,172,20.744,34.231,0.211,0.4452
1447,1447,36.95076952,-121.976916,160,182,17.599,34.571,0.157,0.4078
1448,1448,36.95103992,-121.9769124,0,163,19.529,35.43,0.246,0.819
1449,1449,36.95131031,-121.9769088,0,254,12.079,33.769,0.088,0.5536
1450,1450,36.9515807,-121.9769051,0,289,21.124,34.492,0.298,0.8526
1451,1451,36.95185109,-121.9769015,0,230,14.573,33.721,0.181,0.6474
1452,1452,36.95212148,-121.9768979,0,219,7.524,35.191,0.246,0.5796
1453,1453,36.95239188,-121.9768943,0,266,10.758,35.291,0.263,0.6535
1454,1454,36.95266227,-121.9768907,0,221,12.254,34.6,0.276,0.6718
1455,1455,36.95293266,-121.9768871,0,163,15.425,35.423,0.263,0.7476
1456,1456,36.57977707,-121.9814976,0,545,16.276,34.7,0.277,0.753
1457,1457,36.58004748,-121.981494,0,731,13.405,36.203,0.162,0.6773
1458,1458,36.5805883,-121.9814869,0,154,15.563,33.442,0.16,0.6492
1459,1459,36.94833309,-121.9766117,0,742,14.054,33.471,0.122,0.6016
1460,1460,36.94860349,-121.976608,0,1071,16.581,35.113,0.106,0.6838
1461,1461,36.94887388,-121.9766044,0,1896,17.582,33.585,0.164,0.6941
1462,1462,36.94914427,-121.9766008,0,1704,11.589,35.187,0.26,0.6656
1463,1463,36.94941466,-121.9765972,0,560,14.217,36.208,0.238,0.7312
1464,1464,36.94968505,-121.9765936,0,192,16.429,35.197,0.201,0.7304
1465,1465,36.95076662,-121.9765791,148,0,9.044,35.445,0.207,0.246
1466,1466,36.95103701,-121.9765755,125,0,9.629,34.785,0.165,0.2199
1467,1467,36.9513074,-121.9765719,0,242,16.045,33.895,0.143,0.6614
1468,1468,36.9515778,-121.9765682,0,301,10.04,35.982,0.221,0.6358
1469,1469,36.95184819,-121.9765646,0,313,16.703,35.989,0.198,0.7541
1470,1470,36.95211858,-121.976561,0,313,19.195,35.127,0.227,0.7955
1471,1471,36.95238897,-121.9765574,113,301,14.784,34.719,0.272,0.5906
1472,1472,36.95265936,-121.9765538,113,241,17.637,34.105,0.204,0.564
1473,1473,36.57977421,-121.9811623,0,290,14.305,33.563,0.095,0.5953
1474,1474,36.94833019,-121.9762748,0,772,11.913,36.276,0.145,0.6416
1475,1475,36.94860058,-121.9762712,0,1808,15.073,35.756,0.16,0.6975
1476,1476,36.94887097,-121.9762675,0,1876,16.758,35.427,0.254,0.7691
1477,1477,36.94914137,-121.9762639,0,1616,11.162,35.862,0.238,0.6631
1478,1478,36.94941176,-121.9762603,0,1111,14.569,33.882,0.101,0.6114
1479,1479,36.94968215,-121.9762567,113,462,17.703,34.883,0.202,0.6622
1480,1480,36.95103411,-121.9762386,0,143,17.392,33.975,0.178,0.7071
1481,1481,36.9513045,-121.976235,148,0,12.662,33.782,0.22,0.2813
1482,1482,36.95157489,-121.9762313,113,313,13.567,35.554,0.232,0.5729
1483,1483,36.95184528,-121.9762277,0,313,16.398,33.91,0.288,0.7412
1484,1484,36.95211568,-121.9762241,0,301,14.495,34.831,0.158,0.6622
1485,1485,36.95238607,-121.9762205,0,270,13.265,35.607,0.183,0.6702
1486,1486,36.95265646,-121.9762169,125,270,16.774,34.12,0.171,0.5332
1487,1487,36.95292685,-121.9762132,0,241,14.321,34.405,0.255,0.6966
1488,1488,36.58193462,-121.9807986,398,0,12.955,34.302,0.228,0.304
1489,1489,36.58328666,-121.9807808,125,0,17.531,32.979,0.254,0.3729
1490,1490,36.94832728,-121.9759379,0,541,16.661,34.55,0.201,0.7188
1491,1491,36.94859768,-121.9759343,0,1179,13.893,35.776,0.232,0.7111
1492,1492,36.94886807,-121.9759306,0,1906,11.036,34.978,0.178,0.6086
1493,1493,36.94913846,-121.975927,0,1945,15.837,34.707,0.122,0.6672
1494,1494,36.94940885,-121.9759234,0,1684,11.945,37.181,0.257,0.7208
1495,1495,36.94967924,-121.9759198,125,1729,12.802,35.093,0.251,0.657
1496,1496,36.94994964,-121.9759162,0,300,9.887,34.462,0.119,0.5439
1497,1497,36.95022003,-121.9759125,0,212,19.56,33.529,0.247,0.7726
1498,1498,36.9513016,-121.9758981,113,289,13.836,32.798,0.146,0.4557
1499,1499,36.95157199,-121.9758944,136,461,13.838,34.713,0.267,0.5977
1500,1500,36.95184238,-121.9758908,113,313,11.418,34.517,0.172,0.4751
1501,1501,36.95211277,-121.9758872,0,277,19.289,31.978,0.133,0.6716
1502,1502,36.95238316,-121.9758836,0,241,14.569,34.431,0.185,0.6671
1503,1503,36.95265355,-121.97588,0,192,8.267,34.702,0.18,0.5489
1504,1504,36.95292395,-121.9758763,136,192,10.701,33.444,0.198,0.3258
1505,1505,36.58166134,-121.9804668,525,0,12.344,34.952,0.14,0.2644
1506,1506,36.94832438,-121.975601,0,492,14.094,34.604,0.099,0.6192
1507,1507,36.94859477,-121.9755974,0,781,11.056,32.997,0.196,0.5685
1508,1508,36.94886516,-121.9755938,0,1267,4.713,36.932,0.168,0.5448
1509,1509,36.94913555,-121.9755901,0,1071,15.085,35.101,0.193,0.6979
1510,1510,36.94940595,-121.9755865,0,1577,12.844,36.42,0.149,0.6653
1511,1511,36.94967634,-121.9755829,0,1557,12.157,34.207,0.156,0.6001
1512,1512,36.94994673,-121.9755793,0,1365,19.824,33.673,0.247,0.7813
1513,1513,36.95021712,-121.9755756,0,472,17.084,34.634,0.164,0.7106
1514,1514,36.95156908,-121.9755575,0,508,14.098,34.962,0.175,0.6662
1515,1515,36.95183947,-121.9755539,113,660,12.453,34.294,0.188,0.5641
1516,1516,36.95210986,-121.9755503,0,566,17.606,34.649,0.243,0.7606
1517,1517,36.95238026,-121.9755467,0,192,10.892,34.75,0.203,0.6126
1518,1518,36.57814315,-121.9801778,500,0,17.721,34.941,0.208,0.4027
1519,1519,36.57895438,-121.9801671,94,0,14.49,35.66,0.21,0.3588
1520,1520,36.94832147,-121.9752641,0,221,12.781,34.949,0.225,0.6653
1521,1521,36.94859186,-121.9752605,0,742,13.378,34.73,0.219,0.6684
1522,1522,36.94886226,-121.9752569,0,1022,12.299,33.296,0.244,0.6241
1523,1523,36.94913265,-121.9752532,0,840,7.823,33.112,0.207,0.514
1524,1524,36.94940304,-121.9752496,0,1547,13.775,35.925,0.19,0.6915
1525,1525,36.94967343,-121.975246,0,1469,17.044,34.626,0.177,0.7161
1526,1526,36.94994382,-121.9752424,0,1022,12.987,35.593,0.174,0.6599
1527,1527,36.95021422,-121.9752388,0,1013,18.575,34.481,0.24,0.7738
1528,1528,36.95048461,-121.9752351,0,501,11.466,34.979,0.151,0.6035
1529,1529,36.95183657,-121.975217,0,242,13.409,35.082,0.16,0.6483
1530,1530,36.95210696,-121.9752134,0,519,14.988,35.483,0.183,0.7006
1531,1531,36.57705865,-121.9798568,0,443,13.642,32.787,0.257,0.644
1532,1532,36.57759947,-121.9798496,253,0,17.123,34.798,0.204,0.3855
1533,1533,36.5816556,-121.9797963,525,0,11.478,34.659,0.188,0.2642
1534,1534,36.94831856,-121.9749272,0,172,17.102,32.53,0.249,0.7008
1535,1535,36.94858896,-121.9749236,0,654,17.338,33.701,0.246,0.7332
1536,1536,36.94885935,-121.97492,0,860,15.977,33.158,0.146,0.6432
1537,1537,36.94912974,-121.9749164,0,1130,15.723,35.292,0.189,0.7131
1538,1538,36.94940013,-121.9749127,0,850,20.192,34.334,0.145,0.754
1539,1539,36.94967052,-121.9749091,0,1003,14.002,34.523,0.207,0.6694
1540,1540,36.94994092,-121.9749055,0,1116,15.449,33.787,0.212,0.6816
1541,1541,36.95021131,-121.9749019,0,1205,14.143,32.267,0.252,0.6382
1542,1542,36.9504817,-121.9748982,0,1244,16.296,32.749,0.202,0.6671
1543,1543,36.95075209,-121.9748946,0,983,13.913,36.301,0.252,0.7346
1544,1544,36.95102248,-121.974891,0,289,14.212,34.648,0.167,0.6566
1545,1545,36.57624455,-121.9795322,0,384,18.457,33.375,0.293,0.7703
1546,1546,36.94831566,-121.9745903,0,251,16.121,35.156,0.221,0.7334
1547,1547,36.94858605,-121.9745867,0,693,12.4,34.647,0.218,0.6468
1548,1548,36.94885644,-121.9745831,0,915,19.431,34.809,0.214,0.7856
1549,1549,36.94912683,-121.9745795,113,1140,14.837,34.135,0.189,0.6322
1550,1550,36.94939722,-121.9745758,0,1032,17.707,33.321,0.166,0.6909
1551,1551,36.94966761,-121.9745722,0,752,11.481,35.828,0.221,0.66
1552,1552,36.94993801,-121.9745686,0,1165,9.147,33.43,0.196,0.5422
1553,1553,36.9502084,-121.974565,0,1165,11.752,34.003,0.088,0.5531
1554,1554,36.95047879,-121.9745613,113,811,10.356,32.562,0.104,0.4492
1555,1555,36.95074918,-121.9745577,0,1081,15.11,32.617,0.215,0.6473
1556,1556,36.95101957,-121.9745541,0,950,11.959,31.386,0.162,0.5316
1557,1557,36.95128997,-121.9745505,0,277,19.04,33.555,0.207,0.7432
1558,1558,36.57624168,-121.9791969,0,566,15.897,33.438,0.322,0.7366
1559,1559,36.57732332,-121.9791827,0,136,11.253,35.609,0.117,0.5981
1560,1560,36.94858314,-121.9742498,0,309,11.731,34.013,0.111,0.5645
1561,1561,36.94885353,-121.9742462,0,713,19.393,34.12,0.224,0.7726
1562,1562,36.94912392,-121.9742426,0,590,17.165,35.428,0.211,0.7555
1563,1563,36.94939431,-121.9742389,113,944,14.035,33.794,0.197,0.6049
1564,1564,36.94966471,-121.9742353,0,934,15.778,34.704,0.221,0.7154
1565,1565,36.9499351,-121.9742317,0,1263,10.893,34.606,0.049,0.5325
